area_name,area_code,PC1,PC2,unemployment_rate,pct_private_rented_2021,pct_level4
"Bristol, City of",E06000023,1.8223431248798034,0.7652460520311114,0.043,0.262,0.3278
Cornwall,E06000052,0.03925866256434486,-0.2650128865581729,0.0326,0.1971,0.2499
Isles of Scilly,E06000053,3.9928844660852034,-0.2274072413861347,0.0111,0.3663,0.3301
North Somerset,E06000024,0.3932341762082971,-0.8765344790957107,0.0299,0.1841,0.2835
Plymouth,E06000026,0.28868509882985327,0.8072821314891313,0.0424,0.2263,0.2146
South Gloucestershire,E06000025,-0.051198965475852926,-1.3745582105711855,0.0278,0.1574,0.2669
Swindon,E06000030,-0.09422366577274541,0.10399388046731645,0.0423,0.1932,0.2271
Torbay,E06000027,0.4652412907444601,1.768312750598405,0.0455,0.2662,0.2065
Wiltshire,E06000054,0.4193108318220994,-1.1414096506361397,0.0294,0.174,0.2949
East Devon,E07000040,-0.07792425518452452,-1.4221906009680447,0.0245,0.1602,0.2908
Exeter,E07000041,1.46972605947073,-0.1510048234623285,0.0306,0.2494,0.2856
Mid Devon,E07000042,-0.04798210570798553,-0.7559950900869911,0.0271,0.1856,0.2645
North Devon,E07000043,-0.03808818324050732,-0.023701730429995634,0.0304,0.204,0.2292
South Hams,E07000044,0.7009675979759475,-1.903516821276398,0.0235,0.1608,0.3427
Teignbridge,E07000045,0.0932576184088684,-0.9174412181242053,0.0277,0.1785,0.2797
Torridge,E07000046,-0.41738260810661587,0.20990009914625415,0.0341,0.202,0.2167
West Devon,E07000047,0.31153574299614234,-0.9318315474352096,0.0307,0.1824,0.3003
Cheltenham,E07000078,2.0487321672065826,-0.4849679331674268,0.0334,0.234,0.3623
Cotswold,E07000079,0.7231701659689551,-1.5625947926565344,0.0248,0.1736,0.3365
Forest of Dean,E07000080,-1.22471475273458,-0.7884302197146751,0.0345,0.1352,0.2397
Gloucester,E07000081,0.026449340733344547,0.46754746174259815,0.0426,0.213,0.222
Stroud,E07000082,0.1016088930976541,-1.8564177805324196,0.0281,0.1366,0.3287
Tewkesbury,E07000083,-0.06355098930543611,-1.6474482801288195,0.0282,0.1427,0.3018
Mendip,E07000187,0.10040665399238072,-0.8303821807370193,0.0292,0.1805,0.2787
Sedgemoor,E07000188,-0.7614557942574794,-0.07068603317480927,0.0358,0.179,0.2212
South Somerset,E07000189,-0.4133390901711269,-1.0263918123841873,0.0274,0.1677,0.2505
Isle of Anglesey,W06000001,-0.7127451741157437,0.11393683106017759,0.0469,0.1557,0.2608
Gwynedd,W06000002,-0.26543115589188127,-0.359408056206861,0.0357,0.1735,0.2643
Conwy,W06000003,-0.34715910129766264,0.3490906494654262,0.041,0.1899,0.2547
Denbighshire,W06000004,-0.4159295410951246,0.4649279052654506,0.0422,0.2003,0.2424
Flintshire,W06000005,-1.3441412329140352,-0.663875302381984,0.0386,0.1321,0.2244
Wrexham,W06000006,-1.3191639260076498,0.015080379614214356,0.0418,0.1583,0.2279
Powys,W06000023,-0.3976916546545514,-0.5080123960297128,0.0305,0.1788,0.2634
