area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021
Basingstoke and Deane,E07000084,123243,3999,0.0324,69315,8172,0.1179,133947,23226,40793,0.1734,0.3045,76645,11800,0.154
East Hampshire,E07000085,83522,2133,0.0255,47258,5517,0.1167,94019,15857,31844,0.1687,0.3387,52719,6876,0.1304
Eastleigh,E07000086,91582,2768,0.0302,52177,6438,0.1234,101482,17907,28326,0.1765,0.2791,56924,7936,0.1394
Fareham,E07000087,81198,2117,0.0261,46579,4645,0.0997,92153,16181,27419,0.1756,0.2975,48639,6106,0.1255
Gosport,E07000088,59499,2520,0.0424,35430,5777,0.1631,66402,14347,14265,0.2161,0.2148,35920,6714,0.1869
Hart,E07000089,66087,1570,0.0238,35510,4286,0.1207,72681,9815,27248,0.135,0.3749,39965,5442,0.1362
Havant,E07000090,86247,3444,0.0399,51311,5087,0.0991,98807,24746,22017,0.2504,0.2228,53589,6655,0.1242
New Forest,E07000091,124798,3288,0.0263,76839,9293,0.1209,147514,31178,40184,0.2114,0.2724,77567,11124,0.1434
Rushmoor,E07000092,69652,2593,0.0372,36344,6379,0.1755,74854,13947,18493,0.1863,0.2471,39303,8449,0.215
Test Valley,E07000093,84652,2133,0.0252,47626,6128,0.1287,94414,17330,28825,0.1836,0.3053,54706,8070,0.1475
Winchester,E07000094,84495,1943,0.023,46865,6604,0.1409,95110,13828,38669,0.1454,0.4066,51712,9096,0.1759
Ashford,E07000105,84252,3058,0.0363,47787,6849,0.1433,93411,19777,23007,0.2117,0.2463,53583,9499,0.1773
Canterbury,E07000106,111867,3410,0.0305,60771,11876,0.1954,125971,25778,34385,0.2046,0.273,63792,14024,0.2198
Dartford,E07000107,70488,3099,0.044,40081,6385,0.1593,77342,16334,17053,0.2112,0.2205,45694,8275,0.1811
Dover,E07000108,80786,3607,0.0446,48310,8254,0.1709,91382,22885,20071,0.2504,0.2196,50552,9595,0.1898
Gravesham,E07000109,73191,3714,0.0507,40431,6524,0.1614,80964,19742,16164,0.2438,0.1996,41724,7950,0.1905
Maidstone,E07000110,113231,3848,0.034,63447,9256,0.1459,125476,25915,32154,0.2065,0.2563,71208,12339,0.1733
Sevenoaks,E07000111,82098,2332,0.0284,47020,5057,0.1075,92481,17753,29580,0.192,0.3198,49014,6548,0.1336
Folkestone and Hythe,E07000112,77938,3576,0.0459,47379,10520,0.222,88760,21900,19324,0.2467,0.2177,48337,10870,0.2249
Swale,E07000113,98607,4538,0.046,55585,8446,0.1519,108539,29703,20535,0.2737,0.1892,60495,11102,0.1835
Thanet,E07000114,94452,5358,0.0567,59513,14151,0.2378,108556,30784,21284,0.2836,0.1961,62200,16334,0.2626
Tonbridge and Malling,E07000115,86435,2580,0.0298,48140,4869,0.1011,95821,19135,25967,0.1997,0.271,53571,6694,0.125
Tunbridge Wells,E07000116,82052,2421,0.0295,47174,7995,0.1695,91483,15620,31687,0.1707,0.3464,48224,9268,0.1922
Cherwell,E07000177,103269,2936,0.0284,56728,9206,0.1623,113422,22331,31830,0.1969,0.2806,65893,13033,0.1978
Oxford,E07000178,118437,3801,0.0321,55375,15634,0.2823,126725,17287,53977,0.1364,0.4259,55239,17762,0.3215
South Oxfordshire,E07000179,96892,2446,0.0252,54104,7211,0.1333,108232,17827,39727,0.1647,0.3671,61498,9784,0.1591
Vale of White Horse,E07000180,87477,2190,0.025,49407,6733,0.1363,97867,16328,36420,0.1668,0.3721,57497,9002,0.1566
West Oxfordshire,E07000181,76163,1730,0.0227,43241,6423,0.1485,85312,15054,28076,0.1765,0.3291,47981,8570,0.1786
Elmbridge,E07000207,92027,2457,0.0267,52922,8006,0.1513,103005,13628,45170,0.1323,0.4385,55587,9725,0.175
Epsom and Ewell,E07000208,54170,1480,0.0273,29784,3962,0.133,60371,9559,21720,0.1583,0.3598,31321,5048,0.1612
Guildford,E07000209,102054,2750,0.0269,53973,8522,0.1579,112589,15993,44496,0.142,0.3952,55760,10930,0.196
Mole Valley,E07000210,60778,1529,0.0252,35828,4270,0.1192,69580,11111,26396,0.1597,0.3794,37139,5238,0.141
Reigate and Banstead,E07000211,99173,2892,0.0292,55423,7169,0.1294,110725,18363,37602,0.1658,0.3396,59849,9387,0.1568
Runnymede,E07000212,59793,1630,0.0273,32714,4974,0.152,66653,12176,19945,0.1827,0.2992,34838,6652,0.1909
Spelthorne,E07000213,69916,2277,0.0326,39512,5004,0.1266,78089,15947,20262,0.2042,0.2595,41804,7487,0.1791
Surrey Heath,E07000214,62565,1731,0.0277,33546,4073,0.1214,69302,10387,23887,0.1499,0.3447,36008,5531,0.1536
Tandridge,E07000215,59457,1645,0.0277,33342,3666,0.11,66922,11467,22063,0.1713,0.3297,35623,4730,0.1328
Waverley,E07000216,85617,2068,0.0242,49280,5577,0.1132,97478,14790,39125,0.1517,0.4014,52448,7703,0.1469
Woking,E07000217,71722,2313,0.0322,39467,6186,0.1567,79185,12042,30374,0.1521,0.3836,41438,8738,0.2109
Adur,E07000223,43860,1466,0.0334,26957,3079,0.1142,50579,12936,11122,0.2558,0.2199,27678,4095,0.148
Arun,E07000224,106071,3538,0.0334,66706,10211,0.1531,126164,31364,28732,0.2486,0.2277,72661,13225,0.182
Chichester,E07000225,81037,2267,0.028,49848,7423,0.1489,95161,18566,30820,0.1951,0.3239,54118,9807,0.1812
Crawley,E07000226,77348,3490,0.0451,42727,6214,0.1454,84549,16995,18214,0.201,0.2154,45502,9015,0.1981
Horsham,E07000227,94318,2557,0.0271,54923,6480,0.118,106758,17407,34814,0.1631,0.3261,62370,9055,0.1452
Mid Sussex,E07000228,100252,2435,0.0243,57409,7322,0.1275,112755,16731,37917,0.1484,0.3363,63349,9710,0.1533
Worthing,E07000229,74338,2578,0.0347,47044,9102,0.1935,85971,18319,22314,0.2131,0.2596,49538,10916,0.2204
Bath and North East Somerset,E06000022,130550,3548,0.0272,73515,12447,0.1693,146439,25140,48910,0.1717,0.334,79250,15309,0.1932
"Bristol, City of",E06000023,321506,13817,0.043,182747,43028,0.2355,349653,70478,114621,0.2016,0.3278,191638,50213,0.262
Cornwall,E06000052,388858,12694,0.0326,230389,38605,0.1676,442332,99237,110518,0.2243,0.2499,250533,49371,0.1971
Isles of Scilly,E06000053,1622,18,0.0111,989,294,0.2973,1857,264,613,0.1422,0.3301,939,344,0.3663
North Somerset,E06000024,145352,4350,0.0299,88227,14270,0.1617,165914,32539,47041,0.1961,0.2835,94648,17420,0.1841
Plymouth,E06000026,191786,8136,0.0424,109307,22026,0.2015,211502,47073,45379,0.2226,0.2146,114557,25921,0.2263
South Gloucestershire,E06000025,192468,5354,0.0278,107538,14600,0.1358,212837,39618,56805,0.1861,0.2669,118101,18588,0.1574
Swindon,E06000030,154080,6518,0.0423,88360,14169,0.1604,167774,34424,38097,0.2052,0.2271,95861,18520,0.1932
Torbay,E06000027,94000,4275,0.0455,59010,13696,0.2321,109290,28215,22564,0.2582,0.2065,62992,16767,0.2662
Wiltshire,E06000054,339595,9999,0.0294,194194,29968,0.1543,380013,70782,112067,0.1863,0.2949,215081,37422,0.174
East Devon,E07000040,92782,2270,0.0245,59071,8041,0.1361,112002,23597,32573,0.2107,0.2908,66788,10697,0.1602
Exeter,E07000041,89544,2739,0.0306,49242,10336,0.2099,99066,18156,28291,0.1833,0.2856,52554,13107,0.2494
Mid Devon,E07000042,55847,1513,0.0271,32758,5091,0.1554,63200,14323,16716,0.2266,0.2645,35631,6612,0.1856
North Devon,E07000043,67507,2052,0.0304,40001,7341,0.1835,77378,18613,17732,0.2405,0.2292,43198,8813,0.204
South Hams,E07000044,60617,1422,0.0235,36858,5259,0.1427,69868,12047,23946,0.1724,0.3427,39337,6326,0.1608
Teignbridge,E07000045,89471,2477,0.0277,54003,8358,0.1548,103738,22353,29014,0.2155,0.2797,59837,10683,0.1785
Torridge,E07000046,46510,1586,0.0341,27986,4746,0.1696,53321,13550,11552,0.2541,0.2167,30458,6152,0.202
West Devon,E07000047,38941,1197,0.0307,22725,3409,0.15,44652,9077,13410,0.2033,0.3003,24818,4526,0.1824
Cheltenham,E07000078,86090,2878,0.0334,50929,10925,0.2145,96008,15904,34782,0.1657,0.3623,52899,12378,0.234
Cotswold,E07000079,60075,1491,0.0248,36236,5518,0.1523,69138,12758,23267,0.1845,0.3365,40597,7049,0.1736
Forest of Dean,E07000080,60341,2084,0.0345,34167,3835,0.1122,67947,16664,16285,0.2452,0.2397,37217,5031,0.1352
Gloucester,E07000081,88942,3791,0.0426,50363,8755,0.1738,97531,21247,21651,0.2178,0.222,55406,11803,0.213
Stroud,E07000082,81955,2306,0.0281,47794,5791,0.1212,92251,16788,30324,0.182,0.3287,52378,7153,0.1366
Tewkesbury,E07000083,59685,1682,0.0282,35126,4351,0.1239,67358,12667,20329,0.1881,0.3018,40931,5841,0.1427
Mendip,E07000187,78653,2297,0.0292,46157,7136,0.1546,88882,19054,24769,0.2144,0.2787,50294,9077,0.1805
Sedgemoor,E07000188,82903,2972,0.0358,48801,7113,0.1458,93922,23534,20778,0.2506,0.2212,53904,9651,0.179
South Somerset,E07000189,115790,3170,0.0274,69501,9272,0.1334,132625,29089,33228,0.2193,0.2505,75936,12734,0.1677
Isle of Anglesey,W06000001,50818,2381,0.0469,30594,4324,0.1413,57890,13991,15098,0.2417,0.2608,30824,4799,0.1557
Gwynedd,W06000002,88913,3176,0.0357,52473,8060,0.1536,100923,23365,26673,0.2315,0.2643,51105,8865,0.1735
Conwy,W06000003,81906,3362,0.041,51177,8534,0.1668,96102,24577,24473,0.2557,0.2547,52235,9920,0.1899
Denbighshire,W06000004,67676,2857,0.0422,40546,6446,0.159,76781,19540,18615,0.2545,0.2424,42387,8492,0.2003
Flintshire,W06000005,112325,4332,0.0386,63781,6729,0.1055,123862,29116,27791,0.2351,0.2244,66911,8839,0.1321
Wrexham,W06000006,98691,4128,0.0418,57029,6775,0.1188,109026,29094,24851,0.2669,0.2279,57915,9166,0.1583
Powys,W06000023,96069,2928,0.0305,58345,8638,0.1481,110083,27273,28991,0.2477,0.2634,60182,10760,0.1788
