area_name,area_code,tSNE_1,tSNE_2,unemployment_rate,pct_private_rented_2021,pct_level4,pct_no_quals
"Herefordshire, County of",E06000019,-0.55803394,3.0553744,0.0326,0.1884,0.2749,0.2293
Shropshire,E06000051,-1.2602159,3.59538,0.0328,0.1746,0.275,0.2251
Stoke-on-Trent,E06000021,-5.710509,-19.049442,0.0531,0.2029,0.1547,0.3378
Telford and Wrekin,E06000020,2.5066447,-8.276252,0.0475,0.2117,0.2092,0.2462
Cannock Chase,E07000192,-6.792926,-12.265519,0.0458,0.1579,0.1722,0.2819
East Staffordshire,E07000193,-0.052724868,-2.121915,0.0382,0.1948,0.2338,0.2469
Lichfield,E07000194,-11.258758,5.5155272,0.0339,0.1275,0.2842,0.2242
Newcastle-under-Lyme,E07000195,-9.912407,-4.134485,0.0366,0.1448,0.2249,0.2678
South Staffordshire,E07000196,-11.7459135,1.1063778,0.0331,0.1057,0.2509,0.2398
Stafford,E07000197,-4.632157,9.502353,0.0311,0.1555,0.3028,0.2039
Staffordshire Moorlands,E07000198,-11.839437,-0.90246147,0.0282,0.1269,0.2374,0.2658
Tamworth,E07000199,-8.227051,-11.5039015,0.0447,0.1411,0.1742,0.2679
North Warwickshire,E07000218,-9.162155,-6.3411965,0.036,0.149,0.1978,0.2792
Nuneaton and Bedworth,E07000219,-5.4123197,-12.040366,0.0474,0.1661,0.1857,0.2804
Rugby,E07000220,-2.3137789,7.3520403,0.0359,0.1802,0.2818,0.1955
Stratford-on-Avon,E07000221,-4.3002305,16.063911,0.0246,0.1406,0.3338,0.1934
Warwick,E07000222,4.0618825,15.057485,0.0303,0.1902,0.3844,0.1639
Birmingham,E08000025,2.487132,-16.891323,0.0712,0.226,0.2298,0.2823
Coventry,E08000026,9.437257,-8.718935,0.054,0.2475,0.2305,0.2393
Dudley,E08000027,-6.557608,-14.6563225,0.0532,0.1382,0.1917,0.2998
Sandwell,E08000028,-0.9832064,-18.729988,0.0731,0.1861,0.1536,0.3517
Solihull,E08000029,-8.178898,1.2135967,0.0425,0.1285,0.2853,0.2271
Walsall,E08000030,-1.9559276,-18.346718,0.0677,0.1634,0.1689,0.3371
Wolverhampton,E08000031,0.31146786,-18.58374,0.0785,0.1903,0.1951,0.3123
Bromsgrove,E07000234,-12.3117075,6.7566667,0.0305,0.1061,0.3054,0.2129
Malvern Hills,E07000235,-7.59288,14.258847,0.0316,0.1334,0.3393,0.2031
Redditch,E07000236,-7.4447064,-9.977529,0.046,0.1441,0.207,0.2512
Worcester,E07000237,6.726156,-1.4970261,0.0418,0.2123,0.2766,0.2132
Wychavon,E07000238,-10.445013,5.6056256,0.0313,0.1306,0.2872,0.2211
Wyre Forest,E07000239,-6.5639443,-8.571055,0.042,0.1597,0.2207,0.2781
Bedford,E06000055,6.1413784,-0.6718395,0.0445,0.191,0.2814,0.2037
Central Bedfordshire,E06000056,-8.34325,10.177973,0.0345,0.1372,0.2727,0.1938
Luton,E06000032,11.797401,-8.523668,0.0574,0.2899,0.2225,0.2362
Peterborough,E06000031,8.277856,-8.974512,0.0506,0.2438,0.2024,0.2502
Southend-on-Sea,E06000033,10.217465,-8.1640835,0.0497,0.265,0.2183,0.2462
Thurrock,E06000034,-2.59325,-13.064988,0.0542,0.1828,0.1744,0.2645
Cambridge,E07000008,17.158432,1.0934684,0.0269,0.3143,0.4733,0.1189
East Cambridgeshire,E07000009,-3.7657936,7.7138176,0.0288,0.1645,0.2902,0.2093
Fenland,E07000010,-8.368562,-19.026846,0.0423,0.1995,0.1488,0.3125
Huntingdonshire,E07000011,-2.1352909,8.344822,0.0316,0.1678,0.2792,0.1922
South Cambridgeshire,E07000012,0.40600306,19.353678,0.0232,0.1401,0.401,0.1529
Basildon,E07000066,-7.7466135,-11.77346,0.0465,0.1424,0.1863,0.2664
Braintree,E07000067,-6.6425033,-1.4994733,0.0376,0.1507,0.222,0.2283
Brentwood,E07000068,-6.827702,12.42401,0.0315,0.1596,0.3068,0.1938
Castle Point,E07000069,-10.228483,-15.352038,0.0354,0.1401,0.1462,0.2992
Chelmsford,E07000070,-7.1264515,11.010581,0.0341,0.1555,0.288,0.1886
Colchester,E07000071,6.344654,2.963465,0.0347,0.2153,0.2716,0.194
Epping Forest,E07000072,-9.233943,-0.29554534,0.036,0.1493,0.2534,0.2395
Harlow,E07000073,-5.59331,-13.188688,0.0519,0.1538,0.1763,0.2605
Maldon,E07000074,-11.608425,2.0982008,0.0304,0.1175,0.2364,0.2313
Rochford,E07000075,-12.613451,1.1949071,0.0304,0.107,0.2001,0.2363
