area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021,latitude,longitude,region
Manchester,E08000003,382932,21880,0.0571,204969,58170,0.2838,405709,93765,117243,0.2311,0.289,214730,69403,0.3232,53.526,-2.363,North West (England)
Oldham,E08000004,159765,8661,0.0542,89703,10944,0.122,174438,51620,32458,0.2959,0.1861,93140,16498,0.1771,53.425,-2.33,North West (England)
Rochdale,E08000005,152742,9047,0.0592,87552,11556,0.132,166916,47906,32371,0.287,0.1939,90222,16503,0.1829,53.445,-2.15,North West (England)
Salford,E08000006,173117,9041,0.0522,103556,19420,0.1875,188780,51175,42103,0.2711,0.223,115117,30853,0.268,53.487,-2.245,North West (England)
Stockport,E08000007,205310,8002,0.039,121979,13852,0.1136,229822,47430,68506,0.2064,0.2981,126648,18192,0.1436,53.55,-2.45,North West (England)
Tameside,E08000008,161459,8052,0.0499,94953,12573,0.1324,176616,49547,30994,0.2805,0.1755,99527,17459,0.1754,53.561,-2.232,North West (England)
Trafford,E08000009,162806,6136,0.0377,94484,12001,0.127,180754,33573,61051,0.1857,0.3378,96269,14744,0.1532,53.59,-2.28,North West (England)
Wigan,E08000010,236495,11483,0.0486,136386,15875,0.1164,257825,70486,50374,0.2734,0.1954,143105,22761,0.1591,53.614,-2.43,North West (England)
Burnley,E07000117,63376,3342,0.0527,37550,7267,0.1935,69915,20512,13092,0.2934,0.1873,39871,9696,0.2432,52.78,-1.57,North West (England)
Chorley,E07000118,79951,2588,0.0324,44919,4587,0.1021,87532,18594,24361,0.2124,0.2783,50135,6964,0.1389,52.6,-1.54,North West (England)
Fylde,E07000119,54544,1687,0.0309,34885,6066,0.1739,63757,13497,18982,0.2117,0.2977,37606,7230,0.1923,52.64,-1.53,North West (England)
Hyndburn,E07000120,58356,2688,0.0461,34341,6235,0.1816,64092,17942,12132,0.2799,0.1893,34790,8035,0.231,52.57,-1.5,North West (England)
Lancaster,E07000121,103296,3362,0.0325,57822,10929,0.189,115405,23804,31396,0.2063,0.2721,59978,13029,0.2172,52.73,-1.46,North West (England)
Pendle,E07000122,64440,3012,0.0467,37348,6760,0.181,71128,20031,14392,0.2816,0.2023,38066,8741,0.2296,52.53,-1.43,North West (England)
Preston,E07000123,104085,4575,0.044,57567,10365,0.1801,113422,26601,27930,0.2345,0.2462,59607,13333,0.2237,52.8,-1.38,North West (England)
Ribble Valley,E07000124,41285,852,0.0206,24045,3278,0.1363,46552,8533,15817,0.1833,0.3398,26747,4003,0.1497,52.75,-1.44,North West (England)
Rossendale,E07000125,50075,2090,0.0417,29058,4106,0.1413,54811,13130,13776,0.2396,0.2513,30561,5207,0.1704,52.68,-1.4,North West (England)
South Ribble,E07000126,80458,2421,0.0301,46102,4308,0.0934,89163,18136,23537,0.2034,0.264,48585,6217,0.128,52.62,-1.45,North West (England)
West Lancashire,E07000127,81601,3180,0.039,45381,4744,0.1045,90712,21296,23000,0.2348,0.2535,48534,6722,0.1385,52.56,-1.43,North West (England)
Wyre,E07000128,77663,2464,0.0317,47281,6397,0.1353,90467,23409,20793,0.2588,0.2298,50769,9241,0.182,52.84,-1.75,North West (England)
Knowsley,E08000011,106155,6926,0.0652,61323,5980,0.0975,117225,40647,18120,0.3467,0.1546,66073,9461,0.1432,53.49,-2.076,North West (England)
Liverpool,E08000012,356876,23980,0.0672,206515,48290,0.2338,388315,111532,87126,0.2872,0.2244,207491,54067,0.2606,53.44,-2.3,North West (England)
Sefton,E08000014,198197,9708,0.049,117930,15804,0.134,226435,56921,54490,0.2514,0.2406,123073,22457,0.1825,53.375,-2.073,North West (England)
St. Helens,E08000013,129584,6640,0.0512,75736,7736,0.1021,143372,39950,29924,0.2786,0.2087,81013,12264,0.1514,53.416,-2.2,North West (England)
Wirral,E08000015,230851,11939,0.0517,140583,22275,0.1584,260498,61014,65809,0.2342,0.2526,143252,27091,0.1891,53.5,-2.43,North West (England)
East Riding of Yorkshire,E06000011,245594,8795,0.0358,143032,19648,0.1374,278333,65035,72004,0.2337,0.2587,152066,25732,0.1692,55.001,-1.628,Yorkshire and The Humber
"Kingston upon Hull, City of",E06000010,190610,15296,0.0802,112596,22984,0.2041,208040,65851,31687,0.3165,0.1523,115475,27593,0.239,54.91,-1.382,Yorkshire and The Humber
North East Lincolnshire,E06000012,115823,7486,0.0646,69707,12627,0.1811,129377,38209,20970,0.2953,0.1621,69826,15644,0.224,55.017,-1.442,Yorkshire and The Humber
North Lincolnshire,E06000013,122329,5869,0.048,70684,9477,0.1341,136105,35633,26583,0.2618,0.1953,73172,12555,0.1716,55.019,-1.591,Yorkshire and The Humber
York,E06000014,149789,4582,0.0306,83552,14980,0.1793,166275,29863,53875,0.1796,0.324,85458,17084,0.1999,54.984,-1.741,Yorkshire and The Humber
Craven,E07000163,40056,1003,0.025,24583,3782,0.1538,46161,9356,14663,0.2027,0.3176,26069,4718,0.181,52.24,-0.89,Yorkshire and The Humber
Hambleton,E07000164,65255,1670,0.0256,38117,5770,0.1514,74039,14536,23736,0.1963,0.3206,40800,6826,0.1673,52.35,-0.76,Yorkshire and The Humber
Harrogate,E07000165,114038,2931,0.0257,67169,11771,0.1752,129036,22312,44002,0.1729,0.341,71169,13522,0.19,52.27,-0.63,Yorkshire and The Humber
Richmondshire,E07000166,38652,1116,0.0289,20207,4519,0.2236,42698,7925,11513,0.1856,0.2696,20946,4866,0.2323,52.24,-0.73,Yorkshire and The Humber
Ryedale,E07000167,37581,1029,0.0274,22524,3773,0.1675,43200,10369,11793,0.24,0.273,24715,4841,0.1959,52.3,-0.85,Yorkshire and The Humber
Scarborough,E07000168,79393,3371,0.0425,49435,9640,0.195,91402,23755,20742,0.2599,0.2269,51124,11081,0.2167,52.38,-0.84,Yorkshire and The Humber
Selby,E07000169,61831,2154,0.0348,34559,3796,0.1098,68135,14431,17786,0.2118,0.261,39562,5310,0.1342,52.42,-0.99,Yorkshire and The Humber
Barnsley,E08000016,170405,8738,0.0513,100734,12856,0.1276,188335,60890,32724,0.3233,0.1738,108053,18569,0.1719,53.766,-1.804,Yorkshire and The Humber
Doncaster,E08000017,220877,12697,0.0575,126487,18774,0.1484,244909,74119,41714,0.3026,0.1703,133480,25941,0.1943,53.795,-1.552,Yorkshire and The Humber
Rotherham,E08000018,187959,9821,0.0523,108293,12262,0.1132,208018,62076,36165,0.2984,0.1739,113926,17035,0.1495,53.715,-1.863,Yorkshire and The Humber
Sheffield,E08000019,411004,19626,0.0478,229928,35760,0.1555,452014,109841,116007,0.243,0.2566,231948,43424,0.1872,53.714,-1.664,Yorkshire and The Humber
Bradford,E08000032,366217,21224,0.058,199296,36070,0.181,400121,110892,87397,0.2771,0.2184,209867,48278,0.23,53.38,-1.47,Yorkshire and The Humber
Calderdale,E08000033,148766,7394,0.0497,88621,14545,0.1641,163645,38943,40881,0.238,0.2498,90476,18437,0.2038,53.436,-1.36,Yorkshire and The Humber
Kirklees,E08000034,307194,14465,0.0471,173525,26941,0.1553,336309,85554,80275,0.2544,0.2387,177989,33942,0.1907,53.53,-1.13,Yorkshire and The Humber
Leeds,E08000035,560849,26786,0.0478,320596,57456,0.1792,613992,142481,165429,0.2321,0.2694,341466,74402,0.2179,53.532,-1.49,Yorkshire and The Humber
Wakefield,E08000036,240997,11702,0.0486,140414,16017,0.1141,265797,82621,48772,0.3108,0.1835,153075,22754,0.1486,53.52,-1.4,Yorkshire and The Humber
Derby,E06000015,179291,9297,0.0519,102271,17193,0.1681,198076,47731,47955,0.241,0.2421,105651,22453,0.2125,55.01,-1.539,East Midlands (England)
Leicester,E06000016,242232,14982,0.0618,123125,27999,0.2274,260560,74409,55223,0.2856,0.2119,127389,37437,0.2939,54.98,-1.61,East Midlands (England)
Nottingham,E06000018,232072,14775,0.0637,126131,29098,0.2307,250104,63991,54875,0.2559,0.2194,124743,35688,0.2861,54.521,-0.977,East Midlands (England)
Rutland,E06000017,27052,643,0.0238,15002,2333,0.1555,30683,5453,10096,0.1777,0.329,16691,2790,0.1672,54.545,-1.009,East Midlands (England)
Amber Valley,E07000032,90558,3503,0.0387,52596,6200,0.1179,100841,27220,23346,0.2699,0.2315,56277,8235,0.1463,53.271,-2.701,East Midlands (England)
Bolsover,E07000033,55945,2612,0.0467,32801,4276,0.1304,62192,20455,9853,0.3289,0.1584,35262,6056,0.1717,53.349,-2.748,East Midlands (England)
Chesterfield,E07000034,76409,3557,0.0466,46796,5813,0.1242,85595,23618,17994,0.2759,0.2102,48058,7781,0.1619,53.373,-2.506,East Midlands (England)
Derbyshire Dales,E07000035,51978,1394,0.0268,30744,3860,0.1256,59299,12773,19816,0.2154,0.3342,32283,4650,0.144,53.1,-1.66,East Midlands (England)
Erewash,E07000036,82609,3742,0.0453,48692,6265,0.1287,91948,23808,19015,0.2589,0.2068,50336,8470,0.1683,52.97,-1.29,East Midlands (England)
High Peak,E07000037,67389,2576,0.0382,38946,5231,0.1343,74416,15520,21884,0.2086,0.2941,40772,6545,0.1605,50.732,-1.879,East Midlands (England)
North East Derbyshire,E07000038,73460,2697,0.0367,43070,3183,0.0739,82699,22277,18340,0.2694,0.2218,45987,4608,0.1002,50.888,-1.358,East Midlands (England)
South Derbyshire,E07000039,69450,2125,0.0306,38992,5087,0.1305,75910,16707,19701,0.2201,0.2595,45239,6648,0.147,50.936,-1.2,East Midlands (England)
